Title,Map,Type,Tags,Link
Aggresive Cave Push B, Ancient, Nade, "(CT, Smoke)", https://youtu.be/cQC76zar0cw?si=2eTtu6593d9pFY19
Ancient Cat Flash lineup through Smoke, Ancient, Nade, "(CT, Flash)", https://youtu.be/5YeNg0E9_OI?si=12SJiSSYctOlU8VS
Train Z Molly and CT Smoke, Train, Nade, "(T, Molotov)", https://youtu.be/C_9iQSTVkbM?si=KkwJijKSe8VC0lXU
Overpass A smokes outside conn, Overpass, Nade, "(T, Smoke)", https://youtu.be/1x_B7yTgCis?si=Z0gP_96DVntEp9AD
Nuke A Flashes, Nuke, Nade, "(T, Flash)", https://youtu.be/J4ryzE4LxWk?list=LL
Ancient Cat Molotov, Ancient, Nade, "(T, Molotov)", https://youtu.be/MPQ8gpQTDLU?si=MVBGdzS61Rovo96R
Overpass wallbang CT, Overpass, Tip, CT, https://youtu.be/r7nTC_QR0H8?list=LL
Train Hell Smoke, Train, Nade, "(T, Smoke)", https://youtu.be/XAnGXBpBjc0?list=LL
